line	fine_domain	super_domain	contested_claim	affirmed_by	denied_by	contested_source_urls	contested_rationale	consensual_claim	consensual_source_urls	consensual_rationale	author_provenance
1	health_econ	econ_policy	A regulated market in human kidneys would save more lives than it costs.	market-in-organs economists (Becker & Elias); Iranian-model advocates	WHO transplant ethics; gift-economy bioethics (Titmuss-line)	https://www.aeaweb.org/articles?id=10.1257/jep.21.3.3	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Generic prescription drugs can cost less than equivalent branded medicines.	https://www.fda.gov/drugs/generic-drugs/generic-drug-facts	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
2	medicine	medicine_health	Routine PSA screening reduces prostate cancer mortality more than it harms.	early PSA-screening urology; some ERSPC-trial interpreters	USPSTF (grade C/D); Cochrane; PLCO-trial interpreters	https://pubmed.ncbi.nlm.nih.gov/24643604/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Intravenous medication raises blood concentrations faster than oral medication.	https://www.ncbi.nlm.nih.gov/books/NBK568677/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
3	medicine	medicine_health	Antidepressants outperform placebo by a clinically meaningful margin.	Cipriani et al. 2018 meta-analysis; NICE mainstream psychiatry	Kirsch-line; Moncrieff & critical-psychiatry network	https://pubmed.ncbi.nlm.nih.gov/29477251/|https://pubmed.ncbi.nlm.nih.gov/18303940/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Most adults have systolic pressure exceeding diastolic pressure.	https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
4	nutrition	medicine_health	Egg consumption materially elevates cardiovascular risk in healthy adults.	Zhong-line US cohort analysts	Drouin-Chartier pooled-cohort and meta-analysis teams	https://pubmed.ncbi.nlm.nih.gov/32132002/|https://pubmed.ncbi.nlm.nih.gov/30874756/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Humans obtain nine essential amino acids from dietary protein.	https://www.ncbi.nlm.nih.gov/books/NBK557845/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
5	medicine	medicine_health	Population-wide salt reduction lowers cardiovascular risk.	WHO/He-MacGregor population sodium-reduction researchers	PURE and J-curve sodium-outcome researchers	https://pmc.ncbi.nlm.nih.gov/articles/PMC9174123/|https://pmc.ncbi.nlm.nih.gov/articles/PMC7318881/	Cappuccio and Cook explicitly describe the live population-wide sodium reduction controversy, including linear-benefit and J-curve interpretations.	Insulin lowers the concentration of glucose in the bloodstream.	https://www.ncbi.nlm.nih.gov/books/NBK525983/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=v6-audited; consensual=v6-audited; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
6	medicine	medicine_health	Vitamin D supplementation lessens the rate of respiratory infections.	Martineau et al. 2017 meta-analysis	VITAL and other large null RCTs (Murdoch)	https://pubmed.ncbi.nlm.nih.gov/28202713/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Smoking tobacco greatly elevates lung-cancer risk.	https://www.cdc.gov/tobacco/about/cigarettes-and-cancer.html	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
7	medicine	medicine_health	Intensive blood-pressure targets outperform standard targets in preventing cardiovascular events.	SPRINT intensive-target interpreters	geriatric and adverse-event generalizability critics	https://pubmed.ncbi.nlm.nih.gov/34010531/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Load-bearing human bones withstand greater compression relative to tension.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5601257/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
8	medicine	medicine_health	Intermittent fasting yields better insulin sensitivity than continuous calorie restriction.	early time-restricted-feeding researchers	isocaloric intermittent-fasting RCT interpreters	https://pubmed.ncbi.nlm.nih.gov/28459931/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Venous blood from body tissues carries less oxygen than arterial blood.	https://www.ncbi.nlm.nih.gov/books/NBK482268/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
9	medicine	medicine_health	Placebo analgesia changes nociceptive processing beyond reported pain.	placebo-neurobiology and analgesia researchers	Cochrane clinical-relevance skeptics	https://pmc.ncbi.nlm.nih.gov/articles/PMC6013051/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	The liver metabolizes numerous drugs before they enter general circulation.	https://www.ncbi.nlm.nih.gov/books/NBK551679/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
10	medicine	medicine_health	Screening mammography before age fifty has benefits outweighing its harms.	American Cancer Society; radiology societies	USPSTF; Nordic Cochrane (Gøtzsche); Canadian task force	https://pubmed.ncbi.nlm.nih.gov/28542784/	Active named specialist disagreement is documented by the audit source; the proposition is present-tense or retrospective, truth-apt, and excludes a purely public or normative dispute.	Red blood cell counts exceed white blood cell counts in healthy adults.	https://medlineplus.gov/lab-tests/red-blood-cell-rbc-count/|https://medlineplus.gov/lab-tests/white-blood-count-wbc/	The authoritative or primary audit source supports the proposition at the scope stated; the wording avoids an unsupported universal or prediction.	contested=adversarial-rewrite; consensual=adversarial-rewrite; Codex source audit 2026-07-22; construction=round1; researcher protocol 1A/2A
