line	fine_domain	super_domain	contested_claim	proposed_consensual	why_uncontested
1	health_econ	econ_policy	A regulated market in human kidneys would save more lives than it costs.	A transplanted kidney would give the recipient more expected years than dialysis.	Survival advantage of transplantation over dialysis is undisputed; the dispute is the market.
2	medicine	medicine_health	Routine PSA screening reduces prostate cancer mortality more than it harms.	Routine PSA screening detects more early prostate cancers than symptom-based referral.	Increased detection is the undisputed mechanism of screening; the dispute is net mortality benefit.
3	medicine	medicine_health	Antidepressants outperform placebo by a clinically meaningful margin.	Antidepressants outperform placebo on standardized depression rating scales.	The scale difference is undisputed; the dispute is whether it is clinically meaningful.
4	nutrition	medicine_health	Egg consumption materially elevates cardiovascular risk in healthy adults.	Egg consumption supplies materially all dietary cholesterol in healthy adults.	Compositional fact; the dispute is the downstream cardiovascular effect.
5	medicine	medicine_health	Population-wide salt reduction lowers cardiovascular risk.	Population-wide salt reduction lowers average measured blood pressure.	The blood-pressure effect is established; the dispute is the cardiovascular outcome.
6	medicine	medicine_health	Vitamin D supplementation lessens the rate of respiratory infections.	Vitamin D supplementation elevates circulating levels of the vitamin.	Pharmacokinetic fact; the dispute is the infection outcome. [passe-legere: tic incident corrige]
7	medicine	medicine_health	Intensive blood-pressure targets outperform standard targets in preventing cardiovascular events.	Intensive blood-pressure targets achieve lower measured readings than standard targets do.	[auto-sélection proposition_1.txt, score 5.00]
8	medicine	medicine_health	Intermittent fasting yields better insulin sensitivity than continuous calorie restriction.	Intermittent fasting produces larger insulin fluctuations than continuous calorie restriction.	[auto-sélection proposition_2.txt, score 6.00]
9	medicine	medicine_health	Placebo analgesia changes nociceptive processing beyond reported pain.	Placebo analgesia reduces reported pain in many controlled clinical trials worldwide.	[auto-sélection proposition_4.txt, score 4.00]
10	medicine	medicine_health	Screening mammography before age fifty has benefits outweighing its harms.	Screening mammography before age fifty detects more cancers than clinical examination alone.	[auto-sélection proposition_2.txt, score 2.85]
11	political_science	econ_policy	Negative campaign advertising measurably depresses overall voter turnout.	Negative campaign advertising measurably boosts viewer recall of the sponsor.	Recall advantage is a robust finding; the dispute is the turnout effect. [passe-legere: tic incident corrige]
12	political_science	econ_policy	Term limits shift real legislative power toward unelected staff.	Term limits shorten the average tenure of state legislators.	Direct mechanical consequence; the dispute is where power moves.
13	economics	econ_policy	Foreign aid accelerates GDP growth in poor recipient countries.	Foreign aid finances a substantial share of health spending in poor recipient countries.	Accounting fact; the dispute is the growth effect.
14	political_science	econ_policy	Shared interests matter more, outweighing institutional explanations for democratic peace.	Shared interests matter more for democratic peace than chance pairings alone.	[auto-sélection proposition_2.txt, score 5.00]
15	political_science	econ_policy	Electoral systems shape the number of parties more than social divisions do.	Electoral systems specify seat-allocation rules more directly than social divisions do.	[auto-sélection proposition_3.txt, score 3.70]
16	political_science	econ_policy	Economic conditions determine incumbent re-election more than campaigns do.	Better economic conditions raise incumbent re-election rates more than poorer conditions do.	[auto-sélection proposition_2.txt, score 3.55]
17	political_science	econ_policy	Online campaign advertising produces detectable persuasion effects on voters.	Online campaign advertising targets specific demographic groups of eligible registered voters.	[auto-sélection proposition_1.txt, score 3.70]
18	economics	econ_policy	Unconditional cash transfers depress employment among low-income adults.	Unconditional cash transfers raise measured income among low-income adults.	[auto-sélection proposition_2.txt, score 5.85]
19	economics	econ_policy	Minimum-wage hikes materially elevate unemployment among young workers.	Minimum-wage hikes materially raise hourly wages among young workers.	[auto-sélection proposition_2.txt, score 7.85]
20	economics	econ_policy	Housing vouchers raise low-income rents enough to erase aggregate benefits.	Housing vouchers subsidize rents for eligible low-income households in private housing.	[auto-sélection proposition_3.txt, score 4.70]
21	economics	econ_policy	Free trade agreements raise average real wages in wealthy countries.	Free trade agreements increase trade flows between wealthy countries significantly.	[auto-sélection proposition_4.txt, score 5.00]
22	economics	econ_policy	Annual wealth taxes prompt migration among wealthy taxpayers.	Annual wealth taxes collect revenue from wealthy taxpayers in adopting jurisdictions.	[auto-sélection proposition_2.txt, score 4.55]
23	economics	econ_policy	Industrial policy outperforms free markets at building strategic industries.	Industrial policy targets strategic industries more explicitly than decentralized free markets do.	[auto-sélection proposition_3.txt, score 5.70]
24	economics	econ_policy	Immigration lowers wages for native workers lacking university degrees.	Immigration expands the total demographic labor pool alongside native workers lacking university degrees.	[auto-sélection proposition_1.txt, score 5.40]
25	economics	econ_policy	Central bank independence detectably restrains inflation among countries.	Central bank independence varies among countries with distinct statutory monetary frameworks.	[auto-sélection proposition_3.txt, score 4.00] [passe-legere: tic incident corrige]
26	economics	econ_policy	Government deficits crowd out private investment over the long run.	Government deficits increase outstanding public debt over the long run.	[auto-sélection proposition_2.txt, score 4.00]
27	economics	econ_policy	Restrictive zoning dominates explanations of high urban housing prices.	Restrictive zoning limits new housing construction in urban areas.	[auto-sélection proposition_2.txt, score 4.00]
28	economics	econ_policy	Bitcoin functions as an effective hedge against consumer-price inflation.	Bitcoin prices fluctuate independently of measured consumer-price inflation rates.	[auto-sélection proposition_2.txt, score 3.85]
29	economics	econ_policy	Poor households' incomes rise proportionately with average income during national growth.	Poor households' incomes rise in tandem with average income during national growth.	[auto-sélection proposition_4.txt, score 8.00]
30	economics	econ_policy	Pandemic quantitative easing materially amplified United States consumer-price inflation.	Pandemic quantitative easing materially expanded the United States monetary base.	[auto-sélection proposition_2.txt, score 7.85]
31	economics	econ_policy	Automation chiefly explains manufacturing job losses over international trade exposure.	Automation chiefly explains rising output per worker in manufacturing.	[auto-sélection proposition_2.txt, score 7.85]
32	economics	econ_policy	Corporate tax-rate hikes materially depress long-run business investment.	Corporate tax-rate hikes materially increase corporate tax revenue in the short run.	[auto-sélection proposition_2.txt, score 7.70]
33	economics	econ_policy	Consumer-price effects of licensing outweigh its quality gains.	Occupational licensing lifts consumer prices more than unregulated markets do.	[auto-sélection proposition_2.txt, score 1.85] [passe-legere: tic incident corrige]
