line	fine_domain	super_domain	contested_claim	proposed_consensual	why_uncontested
2	medicine	medicine_health	Routine PSA screening reduces prostate cancer mortality more than it harms.	Routine PSA screening detects more early prostate cancers than symptom-based referral.	Increased detection is the undisputed mechanism of screening; the dispute is net mortality benefit.
3	medicine	medicine_health	Antidepressants outperform placebo by a clinically meaningful margin.	Antidepressants outperform placebo on standardized depression rating scales.	The scale difference is undisputed; the dispute is whether it is clinically meaningful.
4	nutrition	medicine_health	Egg consumption materially elevates cardiovascular risk in healthy adults.	Egg consumption supplies materially all dietary cholesterol in healthy adults.	Compositional fact; the dispute is the downstream cardiovascular effect.
5	medicine	medicine_health	Population-wide salt reduction lowers cardiovascular risk.	Population-wide salt reduction lowers average measured blood pressure.	The blood-pressure effect is established; the dispute is the cardiovascular outcome.
6	medicine	medicine_health	Vitamin D supplementation lessens the rate of respiratory infections.	Vitamin D supplementation raises circulating levels of the vitamin.	Pharmacokinetic fact; the dispute is the infection outcome.
1	health_econ	econ_policy	A regulated market in human kidneys would save more lives than it costs.	A transplanted kidney would give the recipient more expected years than dialysis.	Survival advantage of transplantation over dialysis is undisputed; the dispute is the market.
11	political_science	econ_policy	Negative campaign advertising measurably depresses overall voter turnout.	Negative campaign advertising measurably raises viewer recall of the sponsor.	Recall advantage is a robust finding; the dispute is the turnout effect.
12	political_science	econ_policy	Term limits shift real legislative power toward unelected staff.	Term limits shorten the average tenure of state legislators.	Direct mechanical consequence; the dispute is where power moves.
13	economics	econ_policy	Foreign aid accelerates GDP growth in poor recipient countries.	Foreign aid finances a substantial share of health spending in poor recipient countries.	Accounting fact; the dispute is the growth effect.
43	behavioral_genetics	life_sciences	Genetic differences explain most adult variation in measured intelligence.	Genetic differences explain most adult variation in measured human height.	Height heritability in adults is undisputed; intelligence heritability is the live dispute.
40	biology	life_sciences	A fixed biological upper limit bounds the human lifespan.	Documented human lifespan tops out near one hundred twenty years.	The observed maximum is undisputed; whether a hard biological limit causes it is the dispute.
45	microbiome	life_sciences	The gut microbiome causally shapes human mood and behavior.	The gut microbiome breaks down dietary fibers the human gut cannot digest.	Established metabolic function; the dispute is the behavioral effect.
37	neuroscience	life_sciences	Conscious perception depends on posterior cortical activity rather than prefrontal broadcasting.	Conscious visual perception depends on cortical activity rather than retinal signalling alone.	Cortical necessity is undisputed; which cortical region suffices is the dispute.
38	physics	physical_climate	String theory qualifies as science rather than untestable mathematics.	String theory requires more spatial dimensions than the three we observe.	Property of the formalism; the dispute is its scientific status.
39	cosmology	physical_climate	Cosmic inflation best explains the universe's large-scale uniformity.	The cosmic microwave background displays large-scale temperature uniformity across the sky.	Observation; the dispute is which mechanism explains it.
42	physics	physical_climate	Undiscovered particles explain dark matter rather than modified gravity.	Galaxy rotation curves stay flatter than visible mass alone would predict.	The observation is undisputed; its explanation is the dispute.
35	energy	physical_climate	Low-dose ionizing radiation risk rises linearly to zero dose.	High-dose ionizing radiation raises measured cancer risk in exposed populations.	High-dose risk is undisputed; extrapolation to low dose is the dispute.
58	linguistics	mind_language_society	A person's language detectably shapes color perception.	Languages divide the colour spectrum into detectably different numbers of basic terms.	Cross-linguistic fact; the dispute is the perceptual consequence.
59	linguistics	mind_language_society	Human grammar rests on an innate faculty rather than general learning.	Human children acquire spoken grammar earlier than they acquire written literacy.	Developmental ordering is undisputed; innateness is the dispute.
41	psychology	mind_language_society	Low replication rates in psychology mainly reflect false original findings.	Replication attempts in psychology mainly report effects of reduced magnitude.	The effect-size shrinkage is the observed datum; its interpretation is the dispute.
64	psychology	mind_language_society	Heavy online-platform use poses a material risk for adolescent depression.	Heavy online-platform use occupies a material share of adolescent daily hours.	Time-use measurement; the mental-health effect is the dispute.
107	history	history_archaeology	German expansionism chiefly explains the First World War.	The First World War drew German forces into a prolonged two-front conflict.	The two-front campaign is a settled fact; war-origin attribution is the dispute.
108	history	history_archaeology	The Roman Empire fell chiefly from internal decay.	The Western Roman Empire ended while the Eastern Roman Empire endured.	Chronological fact; the cause of the fall is the dispute.
111	history	history_archaeology	Britain's high wages and cheap coal underpinned the Industrial Revolution.	Britain's coal output expanded steadily throughout the Industrial Revolution.	Output series; the causal role of wages and coal is the dispute.
62	ai	ai_computing	Text form alone supports linguistic meaning learning independent of sensory grounding.	Text form alone supports next-token prediction without any sensory input.	Engineering fact; whether meaning is learned is the dispute.
63	ai	ai_computing	In-context learning retrieves memorized patterns rather than learning new rules.	In-context learning performs better with more worked examples in the prompt.	Robust empirical regularity; the mechanism is the dispute.
